# Powder_Size,Laser_Spot,Laser_Power,Scanning_Speed,Hatch_Distance,Layer_Thickness,Sample_Area,Sample_Length,Elongation
-2.383294670282434524e-01,1.392009262620085508e+00,5.011710012618709742e-01,7.811998360367803373e-01,-1.791517797311728888e+00,5.089445564799836008e-01,5.407498485512765019e-01,-1.409894014921812211e+00,-5.922422380045732071e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,9.435041074184521981e-02,-9.081331427285392888e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-7.103120153553245386e-02
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,-7.955109441441846618e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-2.358706047283559148e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.586025909315272875e+00,3.033643807723873653e+00,-4.690678735212603367e-01,5.089445564799836008e-01,5.407498485512765019e-01,1.101545308987855742e-01,-1.726498338170443514e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,9.983961674530135166e-01,-3.450221498067660431e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,3.748361463927467052e-01
-7.719469031008804327e-01,1.392009262620085508e+00,1.134003030959688907e+00,-3.450221498067660431e-01,-4.690678735212603367e-01,-1.155907975734198068e-01,8.991796996791312502e-01,9.461812311001144282e-01,-1.464746930439857930e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.768633162715052831e-01,-9.081331427285392888e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-2.493049595765992749e-03
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,8.797442597980906775e-01,1.294198691532697731e+00,1.133479910533387036e+00,-5.345397048322876321e-01,1.101545308987855742e-01,-5.922422380045732071e-01
-2.383294670282434524e-01,-7.216960774322259686e-01,-6.108052794928661156e-01,-1.963966254456864124e+00,4.125654090057186973e-01,5.089445564799836008e-01,3.973779081001346802e-01,1.123520228112517394e+00,2.511789646828688216e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,2.264060226848649382e+00,7.811998360367803373e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,1.296887471962456573e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,8.175870161107798850e-01,1.907421821880326718e+00,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,1.085293450651001024e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,-6.828887455598299239e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,1.340815640856165281e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.586025909315272875e+00,3.033643807723873653e+00,-9.098845147847498538e-01,5.089445564799836008e-01,5.407498485512765019e-01,1.101545308987855742e-01,-1.784665317666128903e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,2.180888431150071749e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,1.707046111178334380e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,1.540823621479714634e+00,2.180888431150071749e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,1.267222312419656882e+00
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,-4.238576888158143152e-01,1.294198691532697731e+00,2.382550618640193463e+00,-5.345397048322876321e-01,1.101545308987855742e-01,-1.319329481700643791e+00
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,-7.870642792503580454e-01,1.294198691532697731e+00,2.382550618640193463e+00,-5.345397048322876321e-01,1.101545308987855742e-01,-1.900999276657500348e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,-7.155554053702113670e-03,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,1.255526387017561918e+00
1.229118482171508209e+00,-1.073980300774277863e+00,1.586025909315272875e+00,-1.978044029279908411e+00,-4.690678735212603367e-01,1.133479910533387036e+00,8.274937294535603671e-01,-4.978648874294535620e-01,-1.057244304771670466e-02
